Date,Price,High,Low,Close**,Volume,Market Cap
18-2-2015,243.78,244.25,232.34,236.33,"25,200,800","3,376,059,904"
19-2-2015,236.41,242.67,235.59,240.28,"18,270,500","3,274,980,096"
20-2-2015,240.25,247.1,239.3,243.78,"23,876,700","3,329,189,888"
21-2-2015,243.75,255.32,243.18,244.53,"12,284,200","3,378,660,096"
22-2-2015,244.54,246.39,233.85,235.98,"19,527,000","3,390,510,080"
23-2-2015,235.99,240.11,232.42,238.89,"16,400,000","3,272,880,128"
24-2-2015,239.0,239.9,236.4,238.74,"14,200,400","3,315,369,984"
25-2-2015,238.89,239.34,235.53,237.47,"11,496,200","3,314,639,872"
26-2-2015,237.34,237.71,234.26,236.43,"13,619,400","3,294,030,080"
27-2-2015,236.44,256.65,236.44,253.83,"44,013,900","3,282,409,984"
28-2-2015,253.52,254.69,249.48,254.26,"13,949,300","3,520,560,128"
1-3-2015,254.28,261.66,245.93,260.2,"25,213,700","3,532,049,920"
2-3-2015,260.36,276.3,258.31,275.67,"40,465,700","3,617,339,904"
3-3-2015,275.05,285.8,268.16,281.7,"50,461,300","3,822,510,080"
4-3-2015,281.99,284.23,268.13,273.09,"41,383,000","3,920,130,048"
5-3-2015,272.74,281.67,264.77,276.18,"41,302,400","3,792,480,000"
6-3-2015,275.6,277.61,270.02,272.72,"28,918,900","3,833,159,936"
7-3-2015,272.29,277.85,270.13,276.26,"17,825,900","3,788,189,952"
8-3-2015,276.43,277.86,272.57,274.35,"22,067,900","3,846,749,952"
9-3-2015,274.81,292.7,273.89,289.61,"59,178,200","3,825,250,048"
10-3-2015,289.86,300.04,289.74,291.76,"67,770,800","4,035,790,080"
11-3-2015,291.52,297.39,290.51,296.38,"33,963,900","4,060,029,952"
12-3-2015,296.13,297.09,292.41,294.35,"32,585,200","4,125,289,984"
13-3-2015,294.12,294.5,285.34,285.34,"31,421,500","4,098,249,984"
14-3-2015,284.44,286.34,280.98,281.89,"22,612,300","3,964,470,016"
15-3-2015,281.42,286.53,281,286.39,"11,970,100","3,923,350,016"
16-3-2015,285.68,294.11,285.68,290.59,"21,516,100","3,983,759,872"
17-3-2015,290.6,292.36,284.37,285.51,"21,497,200","4,053,230,080"
18-3-2015,285.07,285.34,249.87,256.3,"57,008,000","3,977,029,888"
19-3-2015,255.88,264.24,248.64,260.93,"52,732,000","3,570,820,096"
20-3-2015,260.96,264.85,259.16,261.75,"18,456,700","3,642,550,016"
21-3-2015,261.64,262.2,255.65,260.02,"17,130,100","3,653,040,128"
22-3-2015,259.92,269.75,259.59,267.96,"18,438,100","3,629,920,000"
23-3-2015,267.89,277.3,261.74,266.74,"22,811,900","3,742,289,920"
24-3-2015,266.58,267,244.15,245.6,"40,073,700","3,724,829,952"
25-3-2015,247.47,249.19,236.51,246.2,"35,866,900","3,458,949,888"
26-3-2015,246.28,254.35,244.9,248.53,"25,730,000","3,443,229,952"
27-3-2015,248.57,256.81,245.21,247.03,"17,274,900","3,476,179,968"
28-3-2015,246.98,254.21,246.98,252.8,"16,040,900","3,454,980,096"
29-3-2015,252.74,253.14,240.85,242.71,"21,699,400","3,536,570,112"
30-3-2015,242.88,249.24,239.21,247.53,"23,009,600","3,399,510,016"
31-3-2015,247.45,248.73,242.74,244.22,"22,672,000","3,464,410,112"
1-4-2015,244.22,247.54,241.16,247.27,"22,877,200","3,420,100,096"
2-4-2015,247.09,254.46,245.42,253.01,"26,272,600","3,461,060,096"
3-4-2015,253.07,256.04,251.88,254.32,"23,146,600","3,545,939,968"
4-4-2015,254.29,255.26,251.1,253.7,"12,493,500","3,563,919,872"
5-4-2015,253.76,260.67,251.94,260.6,"19,649,200","3,557,459,968"
6-4-2015,260.72,261.8,254.57,255.49,"20,034,200","3,655,990,016"
7-4-2015,255.27,255.8,252.21,253.18,"18,467,400","3,580,410,112"
8-4-2015,253.06,253.85,244.21,245.02,"30,086,400","3,550,390,016"
9-4-2015,244.75,246.12,239.4,243.68,"21,643,500","3,434,520,064"
10-4-2015,243.69,243.69,232.77,236.07,"28,882,000","3,420,499,968"
11-4-2015,236.02,239.54,234.18,236.55,"16,365,200","3,313,619,968"
12-4-2015,236.54,237.73,233.49,236.15,"12,387,900","3,321,740,032"
13-4-2015,235.95,236.93,222,224.59,"31,181,800","3,314,279,936"
14-4-2015,224.76,224.98,216.32,219.16,"31,719,000","3,157,969,920"
15-4-2015,219.07,223.83,218.65,223.83,"22,562,000","3,078,889,984"
16-4-2015,223.92,229.67,223.92,228.57,"24,805,400","3,147,650,048"
17-4-2015,228.57,228.91,221.94,222.88,"20,429,800","3,213,910,016"
18-4-2015,222.85,224.32,220.88,223.36,"12,939,000","3,134,170,112"
19-4-2015,223.46,226.35,222.37,222.6,"15,021,500","3,143,460,096"
20-4-2015,222.61,226.35,221.98,224.63,"18,364,700","3,132,400,128"
21-4-2015,224.62,235.27,224.3,235.27,"24,978,000","3,161,520,128"
22-4-2015,235.6,237.91,233.48,234.18,"23,847,900","3,316,989,952"
23-4-2015,234.05,236.48,233.2,236.46,"17,036,000","3,296,059,904"
24-4-2015,235.97,236.3,229.93,231.27,"21,448,700","3,323,830,016"
25-4-2015,231.24,232.56,226.34,226.39,"13,957,200","3,257,850,112"
26-4-2015,226.41,226.94,214.87,219.43,"28,943,700","3,190,789,888"
27-4-2015,219.43,233.3,218.02,229.29,"38,574,000","3,093,199,872"
28-4-2015,228.97,229.49,223.07,225.85,"21,469,200","3,228,470,016"
29-4-2015,225.59,227.04,223.43,225.81,"18,936,500","3,181,700,096"
30-4-2015,225.69,239.56,224.99,236.15,"33,818,600","3,183,859,968"
